"date","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","Acorn","cloudCover","humidity","visibility","month","energy_sum"
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-A",0.48,0.91,4.12,"1",24.0469354974194
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-B",0.48,0.91,4.12,"1",13.732559992
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-C",0.48,0.91,4.12,"1",15.066409390604
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-D",0.48,0.91,4.12,"1",17.9745929768421
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-E",0.48,0.91,4.12,"1",14.228932469582
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-F",0.48,0.91,4.12,"1",11.8159601153619
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-G",0.48,0.91,4.12,"1",13.9430490205882
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-H",0.48,0.91,4.12,"1",13.3035809314856
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-I",0.48,0.91,4.12,"1",12.4094081755102
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-J",0.48,0.91,4.12,"1",16.63390908
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-K",0.48,0.91,4.12,"1",12.4036481524691
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-L",0.48,0.91,4.12,"1",12.3423864324484
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-M",0.48,0.91,4.12,"1",12.4537876106195
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-N",0.48,0.91,4.12,"1",10.8702133286667
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-O",0.48,0.91,4.12,"1",9.94257843529412
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-P",0.48,0.91,4.12,"1",8.51700917889908
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-Q",0.48,0.91,4.12,"1",9.06460462214112
2013-01-16,-0.15,-4.7,"16","3","winter","ACORN-U",0.48,0.91,4.12,"1",18.8871875104167
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-A",0.85,0.91,5.1,"1",28.9015096683871
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-B",0.85,0.91,5.1,"1",16.522080012
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-C",0.85,0.91,5.1,"1",16.3098053778523
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-D",0.85,0.91,5.1,"1",20.6768873126761
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-E",0.85,0.91,5.1,"1",16.0475446965273
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-F",0.85,0.91,5.1,"1",13.487106349483
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-G",0.85,0.91,5.1,"1",15.7547303931373
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-H",0.85,0.91,5.1,"1",15.4492283866962
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-I",0.85,0.91,5.1,"1",13.2064285734694
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-J",0.85,0.91,5.1,"1",18.8167909227273
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-K",0.85,0.91,5.1,"1",14.5717080639752
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-L",0.85,0.91,5.1,"1",14.3025502967456
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-M",0.85,0.91,5.1,"1",15.2372389371681
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-N",0.85,0.91,5.1,"1",12.7305866693333
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-O",0.85,0.91,5.1,"1",12.2050980343137
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-P",0.85,0.91,5.1,"1",9.27656881009174
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-Q",0.85,0.91,5.1,"1",10.3370510962287
2013-01-20,-0.46,-5.88,"16","7","winter","ACORN-U",0.85,0.91,5.1,"1",18.9010833291667
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-A",0.7,0.94,5.21,"1",23.4419806283871
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-B",0.7,0.94,5.21,"1",13.881320012
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-C",0.7,0.94,5.21,"1",14.0884295208054
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-D",0.7,0.94,5.21,"1",16.8884666621053
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-E",0.7,0.94,5.21,"1",12.8046034726221
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-F",0.7,0.94,5.21,"1",10.8155997062038
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-G",0.7,0.94,5.21,"1",12.0410392176471
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-H",0.7,0.94,5.21,"1",12.5983658518847
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-I",0.7,0.94,5.21,"1",11.0729795836735
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-J",0.7,0.94,5.21,"1",14.4700810783784
