"date","Acorn","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","dewPoint","pressure","energy_sum"
2014-02-08,"ACORN-A",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,21.177478575
2014-02-08,"ACORN-B",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,14.2725217217391
2014-02-08,"ACORN-C",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,13.4537553863309
2014-02-08,"ACORN-D",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,14.6481828743191
2014-02-08,"ACORN-E",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,12.1527031688761
2014-02-08,"ACORN-F",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,10.6989857146032
2014-02-08,"ACORN-G",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,11.7714816743455
2014-02-08,"ACORN-H",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,12.2765568408353
2014-02-08,"ACORN-I",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,9.67151063617021
2014-02-08,"ACORN-J",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,12.189597826087
2014-02-08,"ACORN-K",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,11.860206672
2014-02-08,"ACORN-L",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,11.5212539746032
2014-02-08,"ACORN-M",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,11.1867864116505
2014-02-08,"ACORN-N",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,10.3167708347222
2014-02-08,"ACORN-O",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,9.33949462365591
2014-02-08,"ACORN-P",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,7.63142573069307
2014-02-08,"ACORN-Q",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,8.54552197430093
2014-02-08,"ACORN-U",5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,12.3398863568182
2013-12-24,"ACORN-A",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,23.204063365493
2013-12-24,"ACORN-B",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,15.8298695913043
2013-12-24,"ACORN-C",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,15.9431285707143
2013-12-24,"ACORN-D",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,16.267180765
2013-12-24,"ACORN-E",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,11.5356041081445
2013-12-24,"ACORN-F",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,10.8493840100313
2013-12-24,"ACORN-G",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,12.4759322984375
2013-12-24,"ACORN-H",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,13.7188940087558
2013-12-24,"ACORN-I",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,10.4317291645833
2013-12-24,"ACORN-J",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,14.116166678125
2013-12-24,"ACORN-K",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,12.3946026503311
2013-12-24,"ACORN-L",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,12.660383182866
2013-12-24,"ACORN-M",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,12.3664519211538
2013-12-24,"ACORN-N",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,11.1015763895833
2013-12-24,"ACORN-O",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,9.57513830425532
2013-12-24,"ACORN-P",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,7.03793269038462
2013-12-24,"ACORN-Q",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,8.71575494110672
2013-12-24,"ACORN-U",11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,13.0645454340909
2012-11-01,"ACORN-A",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,20.6409108267516
2012-11-01,"ACORN-B",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,12.835519968
