"date","apparentTemperatureMax","sunsetTimeHour","weekday","season","stdorToU","Acorn","cloudCover","humidity","visibility","month","energy_sum"
2013-01-16,-0.15,"16","3","winter","Std","ACORN-A",0.48,0.91,4.12,"1",24.8511196717949
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-A",0.48,0.91,4.12,"1",21.57089475
2013-01-16,-0.15,"16","3","winter","Std","ACORN-B",0.48,0.91,4.12,"1",12.3709523619048
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-B",0.48,0.91,4.12,"1",20.88100005
2013-01-16,-0.15,"16","3","winter","Std","ACORN-C",0.48,0.91,4.12,"1",15.6771551637931
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-C",0.48,0.91,4.12,"1",12.9195454606061
2013-01-16,-0.15,"16","3","winter","Std","ACORN-D",0.48,0.91,4.12,"1",18.5228820707547
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-D",0.48,0.91,4.12,"1",16.3823013616438
2013-01-16,-0.15,"16","3","winter","Std","ACORN-E",0.48,0.91,4.12,"1",14.7363275815271
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-E",0.48,0.91,4.12,"1",12.3950830738872
2013-01-16,-0.15,"16","3","winter","Std","ACORN-F",0.48,0.91,4.12,"1",11.8024866912548
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-F",0.48,0.91,4.12,"1",11.8628940298013
2013-01-16,-0.15,"16","3","winter","Std","ACORN-G",0.48,0.91,4.12,"1",14.7801019127389
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-G",0.48,0.91,4.12,"1",11.1469361680851
2013-01-16,-0.15,"16","3","winter","Std","ACORN-H",0.48,0.91,4.12,"1",13.5799184782609
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-H",0.48,0.91,4.12,"1",12.0783734951807
2013-01-16,-0.15,"16","3","winter","Std","ACORN-I",0.48,0.91,4.12,"1",13.0868048902439
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-I",0.48,0.91,4.12,"1",8.9377500125
2013-01-16,-0.15,"16","3","winter","Std","ACORN-J",0.48,0.91,4.12,"1",17.3433670683544
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-J",0.48,0.91,4.12,"1",14.8259354967742
2013-01-16,-0.15,"16","3","winter","Std","ACORN-K",0.48,0.91,4.12,"1",12.0815285742857
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-K",0.48,0.91,4.12,"1",14.4535000136364
2013-01-16,-0.15,"16","3","winter","Std","ACORN-L",0.48,0.91,4.12,"1",12.5826882140684
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-L",0.48,0.91,4.12,"1",11.5108157934211
2013-01-16,-0.15,"16","3","winter","Std","ACORN-M",0.48,0.91,4.12,"1",12.6543437458333
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-M",0.48,0.91,4.12,"1",11.3212353176471
2013-01-16,-0.15,"16","3","winter","Std","ACORN-N",0.48,0.91,4.12,"1",11.0174399968
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-N",0.48,0.91,4.12,"1",10.134079988
2013-01-16,-0.15,"16","3","winter","Std","ACORN-O",0.48,0.91,4.12,"1",9.90583721395349
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-O",0.48,0.91,4.12,"1",10.1400625
2013-01-16,-0.15,"16","3","winter","Std","ACORN-P",0.48,0.91,4.12,"1",9.71674713218391
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-P",0.48,0.91,4.12,"1",3.77259090909091
2013-01-16,-0.15,"16","3","winter","Std","ACORN-Q",0.48,0.91,4.12,"1",9.11554467971631
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-Q",0.48,0.91,4.12,"1",8.75765812136752
2013-01-16,-0.15,"16","3","winter","Std","ACORN-U",0.48,0.91,4.12,"1",20.2040000157895
2013-01-16,-0.15,"16","3","winter","ToU","ACORN-U",0.48,0.91,4.12,"1",13.88329999
2013-01-20,-0.46,"16","7","winter","Std","ACORN-A",0.85,0.91,5.1,"1",31.0676324623932
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-A",0.85,0.91,5.1,"1",22.2321315921053
2013-01-20,-0.46,"16","7","winter","Std","ACORN-B",0.85,0.91,5.1,"1",15.0453333619048
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-B",0.85,0.91,5.1,"1",24.274999925
2013-01-20,-0.46,"16","7","winter","Std","ACORN-C",0.85,0.91,5.1,"1",16.8158706956897
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-C",0.85,0.91,5.1,"1",14.5309091090909
2013-01-20,-0.46,"16","7","winter","Std","ACORN-D",0.85,0.91,5.1,"1",21.09932227109
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-D",0.85,0.91,5.1,"1",19.4558766794521
2013-01-20,-0.46,"16","7","winter","Std","ACORN-E",0.85,0.91,5.1,"1",16.4837307074713
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-E",0.85,0.91,5.1,"1",14.4710623186944
2013-01-20,-0.46,"16","7","winter","Std","ACORN-F",0.85,0.91,5.1,"1",13.5127737604563
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-F",0.85,0.91,5.1,"1",13.3976953682119
2013-01-20,-0.46,"16","7","winter","Std","ACORN-G",0.85,0.91,5.1,"1",16.7491337617834
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-G",0.85,0.91,5.1,"1",12.4329999914894
2013-01-20,-0.46,"16","7","winter","Std","ACORN-H",0.85,0.91,5.1,"1",15.8804076149457
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-H",0.85,0.91,5.1,"1",13.5374939771084
2013-01-20,-0.46,"16","7","winter","Std","ACORN-I",0.85,0.91,5.1,"1",14.0127073195122
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-I",0.85,0.91,5.1,"1",9.07425
2013-01-20,-0.46,"16","7","winter","Std","ACORN-J",0.85,0.91,5.1,"1",19.3397215405063
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-J",0.85,0.91,5.1,"1",17.484161283871
2013-01-20,-0.46,"16","7","winter","Std","ACORN-K",0.85,0.91,5.1,"1",14.3572589784173
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-K",0.85,0.91,5.1,"1",15.9266363772727
2013-01-20,-0.46,"16","7","winter","Std","ACORN-L",0.85,0.91,5.1,"1",14.5821444889734
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-L",0.85,0.91,5.1,"1",13.3221066626667
2013-01-20,-0.46,"16","7","winter","Std","ACORN-M",0.85,0.91,5.1,"1",15.0376249979167
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-M",0.85,0.91,5.1,"1",16.3644705941176
2013-01-20,-0.46,"16","7","winter","Std","ACORN-N",0.85,0.91,5.1,"1",12.7184000016
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-N",0.85,0.91,5.1,"1",12.791520008
2013-01-20,-0.46,"16","7","winter","Std","ACORN-O",0.85,0.91,5.1,"1",12.3385697604651
2013-01-20,-0.46,"16","7","winter","ToU","ACORN-O",0.85,0.91,5.1,"1",11.48768750625
2013-01-20,-0.46,"16","7","winter","Std","ACORN-P",0.85,0.91,5.1,"1",10.4310000034483
