"date","apparentTemperatureMax","apparentTemperatureMin","humidity","energy_sum"
2013-05-01,16.96,3.39,0.43,8.79350297401487
2013-07-14,29.3,17.96,0.45,8.32997890363534
2012-03-27,21.14,4.88,0.49,9.56769350731306
2012-03-26,18.26,4.77,0.53,9.98495594530341
2013-07-16,30.28,17.14,0.54,8.02342824879473
2013-05-25,18.82,4.49,0.55,8.91666168992349
2012-07-27,21.09,14.93,0.55,8.22438289806234
2013-05-02,19.71,4.48,0.56,8.55738646036824
2012-05-26,25.98,13.55,0.56,8.12422372510798
2013-08-28,23.19,14.16,0.56,7.81040460799695
2013-07-15,29.2,17.03,0.56,8.0665576486624
2013-04-01,3.74,-4.26,0.57,11.9824229419611
2013-06-24,18.76,11.26,0.57,8.41985955366585
2013-07-08,25.61,12.01,0.57,7.96851749430023
2013-08-09,21.73,14.1,0.57,7.69374488659091
2013-07-18,27.27,15.62,0.57,8.00012283381688
2012-07-24,29.37,15.74,0.57,7.91489272931507
2012-05-11,14.44,3.24,0.58,8.72991557253283
2013-05-26,17.28,4.68,0.58,8.58491657200448
2012-07-22,27.18,12.47,0.58,8.24220885079031
2012-07-23,28.32,14.21,0.58,7.99294122635349
2012-05-25,24.64,15.06,0.58,7.96379895979203
2012-02-02,-3.78,-6.49,0.59,14.3687993373355
2013-02-21,-2.51,-3.9,0.59,12.5534853697696
2012-04-15,10.94,-0.22,0.59,11.1263464632844
2013-04-28,13.41,4.92,0.59,10.0098241978257
2013-06-01,18.83,8.97,0.59,8.47592064981329
2013-08-18,22.02,12.68,0.59,8.20290707031547
2012-08-17,30.6,20.54,0.59,7.77314537844538
2012-08-30,17.72,5.92,0.6,8.33731253847931
2013-06-03,20.07,6.1,0.6,8.11301942072829
2013-05-06,19.82,8.63,0.6,8.64548966617017
2012-09-04,19.97,12.07,0.6,8.33847197134159
2013-08-19,23.53,12.16,0.6,7.80935943712222
2013-08-30,19.87,14.22,0.6,7.85504988570069
2013-07-17,27.56,17.5,0.6,8.07288736129215
2013-04-04,3.68,-2.8,0.61,12.2019722473821
2012-03-31,12.88,1.12,0.61,10.4233533220421
2012-03-28,19.16,5.82,0.61,9.53081514918567
2012-06-08,17.92,11.02,0.61,8.8071708318217
2013-06-28,21.19,13.42,0.61,8.29101761577961
2013-08-11,20.39,13.57,0.61,8.01772023505584
2012-07-25,26.44,15.93,0.61,7.99986409557522
2013-07-13,27.83,17.28,0.61,7.9428796842026
2013-04-06,10.37,-1.21,0.62,11.0971770039067
2013-04-30,16.32,2.32,0.62,8.84434200802974
2013-04-29,13.71,4.3,0.62,9.06303884040141
2012-05-12,16.26,4.6,0.62,9.15230502785847
2012-09-07,27.12,10.41,0.62,8.03635264479429
2012-09-10,17.82,11.73,0.62,8.51159005035684
2012-05-27,25.58,13.89,0.62,8.43969314850317
2013-07-25,26.19,15.26,0.62,7.9739420857574
2013-08-10,22.76,15.42,0.62,7.7033080859307
2013-03-12,-0.56,-8.88,0.63,12.8522952649291
2013-02-22,-3.32,-4.29,0.63,12.8562318234756
2013-03-29,1.71,-2.99,0.63,12.2315757362123
2013-04-05,8.53,-2.67,0.63,11.7314792668086
2012-04-01,15.04,3.98,0.63,10.7465230768421
2012-09-18,16.3,5.17,0.63,8.48585667139616
2013-08-31,21.07,10.17,0.63,7.9242992379619
2013-05-05,20.99,10.48,0.63,8.80253695803389
2012-09-06,25.76,11.46,0.63,8.07335405306594
2013-08-07,23.81,11.83,0.63,7.63305358805151
2013-07-05,26.47,13.48,0.63,7.97027959417512
2013-06-30,19.78,13.89,0.63,8.46244179996251
2013-07-21,32.16,17.29,0.63,8.19377346364493
2012-08-16,27.23,17.92,0.63,7.9581808817437
2013-03-27,-0.19,-4.06,0.64,12.4960441531868
2013-04-02,-0.57,-3.72,0.64,11.2662517108933
2013-03-31,1.29,-3.14,0.64,11.9327208888355
2012-02-19,3.63,-1.92,0.64,13.7550365852304
2012-03-05,5.56,-1.21,0.64,12.7162520024055
2012-05-15,13.46,1.41,0.64,9.45404663253857
2013-04-20,14.12,1.46,0.64,9.48570009257196
2013-04-27,11.59,1.61,0.64,9.52584724036424
2013-04-17,14.11,5.27,0.64,9.17927174876646
2013-05-03,16.31,5.78,0.64,8.3922208376186
2012-05-10,15.88,7.43,0.64,9.19821925746326
2013-06-25,20.61,10.14,0.64,8.02718950264292
2012-09-17,17.19,10.97,0.64,8.56541200855072
2012-06-19,21.16,11.47,0.64,8.12038286493224
2013-07-10,21.69,11.99,0.64,7.84724430656879
2013-08-20,25.57,12.72,0.64,7.66068129101614
2013-07-09,23.19,13.36,0.64,7.8650527002635
2013-08-06,21.49,14.97,0.64,7.71401116355724
2013-08-29,24.03,15.34,0.64,7.747788270754
2012-05-24,24.14,15.81,0.64,7.96099559641809
2013-03-25,-2.89,-4.96,0.65,13.1182948122023
2013-03-26,-2.29,-4.31,0.65,12.9165594512001
2012-04-05,12.28,-1.43,0.65,10.6452334067114
2013-04-07,7.18,-0.38,0.65,11.1582951846481
2013-05-22,10.26,3.51,0.65,8.82453115537314
2013-04-25,13.28,5.04,0.65,8.28206681505197
2012-07-29,19.69,8.53,0.65,8.56678601442713
2013-05-31,17.34,10.77,0.65,8.43245865167071
2013-07-04,24.62,12.63,0.65,8.01432251371482
2013-07-07,25.18,14.99,0.65,8.33993133843115
2013-07-31,32.42,17.18,0.65,7.95977635117114
2013-03-28,0.31,-3.85,0.66,12.0509543181247
2012-04-14,6.16,-0.3,0.66,10.2552783720294
2014-02-09,3.91,1.38,0.66,12.202967430864
2013-04-19,13.14,2.88,0.66,9.44901226100687
2012-05-16,14.06,6.22,0.66,8.09679030543142
2013-06-02,18.66,7.24,0.66,8.73745320429666
2013-06-06,19.64,10.02,0.66,7.96687892296338
2013-06-23,16.1,10.62,0.66,9.00841087190253
2012-07-21,22.86,12.24,0.66,8.1380082199157
2013-06-16,20.4,12.87,0.66,8.82588218790036
2013-07-06,27.28,14.99,0.66,7.99750949821328
2012-02-01,-1.86,-5.98,0.67,13.8149644032203
2012-02-03,-1.67,-5.77,0.67,14.5212743186603
2013-03-14,5.17,-3.72,0.67,11.7860816737648
2013-05-24,14.87,3.19,0.67,9.55757398660198
2012-03-21,15.62,5.38,0.67,10.3803018700801
2013-09-15,14.08,5.59,0.67,9.88995758458158
2012-02-25,12.11,5.93,0.67,11.8060770159006
2012-06-12,17.51,7.54,0.67,9.1583743100853
2013-05-17,14.56,7.62,0.67,9.22621335199552
2012-09-05,20.76,8.67,0.67,8.15701951741868
2012-09-08,27.78,11.32,0.67,8.23576343329135
2012-06-16,19.44,12.46,0.67,7.797470794808
2013-06-29,25.17,14.92,0.67,8.10806280560555
2013-07-12,29.24,15.01,0.67,7.81593541751083
2012-08-10,22.91,15.21,0.67,7.96711176451681
2013-07-23,26.24,15.59,0.67,8.22195739049774
2013-08-08,23.85,15.72,0.67,7.66710662914773
2013-02-23,-1.89,-4.2,0.68,13.245570067375
2013-03-31,1.64,-2.33,0.68,11.9327208888355
2012-03-08,12.03,-0.33,0.68,12.0449306114537
2012-03-19,13.27,-0.32,0.68,11.0559449086835
2014-02-13,3.42,0.05,0.68,11.2857367269835
2011-12-07,5.14,0.94,0.68,10.8893618453947
2012-01-22,11.8,2.14,0.68,13.7207991855984
2013-10-09,11.82,4.19,0.68,8.94084204544581
2013-05-12,14.06,4.53,0.68,9.80834829610728
2013-05-04,17.79,5.5,0.68,8.86870556311186
2012-04-29,17.15,6.21,0.68,11.5585434884521
2013-06-05,20.88,6.66,0.68,8.0122647113768
2012-09-12,17.64,7.17,0.68,8.27887156851037
2013-04-22,20.25,10.02,0.68,9.41152330447539
2012-06-18,20.35,10.1,0.68,8.32665216317453
2013-06-09,14.56,10.61,0.68,9.14705667833895
2013-08-05,22.11,12.23,0.68,8.00088371985252
2012-09-13,20.69,13.61,0.68,8.23255736681296
2013-07-26,27.37,14.82,0.68,7.79169643258448
2013-03-30,1.53,-2.65,0.69,11.7919036962847
2014-02-15,5.79,1.77,0.69,11.4904696152022
2013-04-18,11.95,3.88,0.69,9.25026850964928
2012-09-21,15.62,5.43,0.69,8.80640323234452
2013-06-07,17.06,6.88,0.69,8.05955094284913
2013-06-13,18.81,7.72,0.69,8.54384331740921
2013-08-12,19.8,11.46,0.69,7.78243539261084
2013-06-26,19.23,12.2,0.69,8.03627886081334
2012-07-14,18.26,12.44,0.69,8.59546066300359
2013-08-27,23.38,12.45,0.69,7.8898722145877
2013-08-26,22.78,12.82,0.69,8.0020666664
2012-08-08,25.92,13.33,0.69,8.00354526408318
2012-06-25,22.92,14.04,0.69,8.26851710176991
2012-08-25,21.01,14.26,0.69,8.12416799636707
2013-08-25,24.32,16.37,0.69,8.11769853416492
2012-02-20,5.37,-4.67,0.7,13.3062665818302
2013-12-06,5.72,-1.27,0.7,11.6051751948828
2012-04-10,12.91,1.97,0.7,9.91865182430657
2012-04-09,12.9,2.8,0.7,10.6329381068606
2012-01-05,11.46,3.67,0.7,12.8480783845606
2013-02-16,10.13,3.7,0.7,11.5626674574922
2013-05-21,14.02,7.13,0.7,8.76439910578143
2013-04-15,16.55,7.26,0.7,9.3196743918969
2012-09-19,17.38,8.07,0.7,8.54859403382716
2013-05-18,17.85,8.56,0.7,9.15104978517621
2012-09-14,21.12,8.97,0.7,8.29216829797959
2012-06-30,17.88,11.01,0.7,8.17816464775481
2013-04-13,19.88,11.49,0.7,10.531617352132
2012-07-20,19.89,11.83,0.7,8.23411085412013
2013-09-01,24.94,11.88,0.7,8.41948351945132
2013-07-11,23.92,12.01,0.7,7.77092362678706
2012-06-24,21.15,12.11,0.7,8.99321729674173
2012-08-22,22.04,12.96,0.7,7.8457140456435
2012-08-09,24.99,14.5,0.7,7.97107120375971
2013-08-03,22.98,14.79,0.7,7.74115223093797
2012-08-11,25.13,16.03,0.7,8.02954915983193
2013-02-24,-2.08,-3.26,0.71,14.0142816025467
2013-02-07,2.42,-2.68,0.71,12.2380164108497
2013-02-02,1.9,-1.71,0.71,12.359468647922
2011-12-09,3.99,-1.42,0.71,11.7598369548913
2014-02-22,11.63,1.59,0.71,10.7762421096284
2013-04-26,10.36,1.82,0.71,8.77842514832838
2012-04-16,13.77,1.82,0.71,10.4448520683463
2012-03-25,18.18,2.4,0.71,10.6978578656854
2013-02-04,10.2,2.41,0.71,11.6230153159526
2013-05-14,13.64,2.67,0.71,9.29040938778171
2012-03-30,11.09,4.29,0.71,9.34331788707317
2013-05-08,14.28,5,0.71,8.50373096231614
2012-03-29,17.12,6.71,0.71,9.34187804902439
2013-06-04,19.64,6.8,0.71,8.01897889462084
2012-06-13,18.08,7.79,0.71,6.98976638256628
2012-06-22,18.12,11.01,0.71,8.44999326816543
2013-06-15,17.34,11.46,0.71,8.65216560547021
2012-09-16,18.72,13.29,0.71,9.01801874275302
2012-06-29,20.13,13.61,0.71,8.20298928261491
2012-07-04,22.33,15.2,0.71,8.22653003493522
2013-08-02,23.17,15.36,0.71,7.98315031223294
2013-09-04,28.59,15.54,0.71,8.0301706984759
2012-08-15,21.67,16.02,0.71,8.09452720029406
2013-07-20,26.07,16.84,0.71,8.01356375908834
2013-08-01,24.68,17.44,0.71,7.91322415390285
2013-03-02,3.13,-0.01,0.72,12.3088508924986
2014-02-21,10.15,0.19,0.72,10.5181264982014
2013-11-26,5.77,1.08,0.72,11.4432681977228
2013-12-03,7.22,1.58,0.72,11.4140062422829
2013-11-15,7.41,1.74,0.72,10.7880055918804
2012-03-20,14.48,1.97,0.72,10.7309130871912
2011-11-27,13.54,2.94,0.72,10.8508048926829
2014-02-02,6.48,3.21,0.72,12.0781643556832
2012-03-22,15.81,3.51,0.72,10.2048129331294
2012-04-13,11.62,3.66,0.72,10.0172454382691
2012-01-07,10.34,4.72,0.72,12.7654599122642
2013-03-06,13.14,6.51,0.72,10.6752483423473
2012-09-11,17.92,6.77,0.72,8.2373150043022
2013-04-14,15.43,10.08,0.72,10.0442564420545
2013-05-09,17.17,10.2,0.72,8.7022052143203
2013-06-08,14.17,10.29,0.72,8.26964678339566
2013-05-30,21.68,11.27,0.72,9.05063902911298
2013-04-24,22.08,11.38,0.72,8.50609896036019
2013-07-01,17.5,11.84,0.72,8.11550984061856
2012-05-29,24.11,12.5,0.72,8.00506552777933
2012-06-15,17.47,12.57,0.72,7.22760056202661
2012-08-31,20.53,13.11,0.72,8.09845590134397
2012-08-21,21.48,13.16,0.72,7.94275446311699
2012-09-02,24.34,15.69,0.72,9.00151469930701
2012-08-18,29.5,18.33,0.72,8.01485017856693
2013-03-11,-4.11,-8.57,0.73,13.1067729697477
2013-02-13,1.23,-3.18,0.73,12.7171507564519
2013-02-05,2.38,-2.91,0.73,12.0102716505743
2013-12-05,10.29,-2.54,0.73,11.8151815876146
2013-03-13,3.01,-2.39,0.73,12.119938075341
2012-04-20,12.45,1.57,0.73,10.2849724452354
2013-12-22,10.07,1.58,0.73,11.942015860701
2014-02-26,11.29,1.67,0.73,10.2029453223713
2013-11-30,6.01,2.19,0.73,11.530147006668
2012-05-04,7.42,2.99,0.73,9.99838708130881
2012-02-15,10.61,3.46,0.73,13.0541475835862
2012-06-17,18.87,11.17,0.73,8.90575000117532
2012-08-02,21.77,13.09,0.73,7.96554281449611
2012-07-18,20.18,13.77,0.73,8.26354165777262
2012-05-28,22.37,14.25,0.73,8.10115292853894
2013-07-27,23.14,15.34,0.73,8.07355880734378
2013-08-17,22.42,15.92,0.73,8.00789620481974
2013-04-03,-1.57,-3.52,0.74,11.9232258596374
2013-11-19,4.33,-2.23,0.74,11.095023002977
2013-01-13,-0.09,-2.16,0.74,13.66222980501
2012-01-16,4.18,-1.97,0.74,13.0478076073826
2014-02-27,10.31,1.41,0.74,10.3563498993587
2013-03-05,16.06,1.49,0.74,10.8604805896228
2012-02-26,12.67,1.82,0.74,12.4442211160248
2013-11-14,6.61,2.32,0.74,10.6443382847445
2013-01-31,6.38,3.29,0.74,11.2815322518586
2012-02-16,10.61,3.44,0.74,12.5933233270123
2013-11-03,11.43,3.89,0.74,11.0441856336607
2013-05-15,15.13,4.17,0.74,9.25626653054572
2013-04-21,14.32,5.12,0.74,9.99667631842984
2014-02-24,14.23,5.52,0.74,10.4114030845214
2011-12-27,10.33,5.59,0.74,11.4949444444444
2012-10-09,14.13,6.21,0.74,9.64186838981088
2012-03-24,18.83,6.42,0.74,10.2277729189235
2012-03-23,19.48,6.74,0.74,10.1237569813717
2012-10-15,14.74,7.15,0.74,10.2020812658837
2013-04-23,19.35,8.49,0.74,8.66526337323551
2013-06-14,16.27,11.01,0.74,8.20428627614679
2012-08-01,21.29,15.61,0.74,8.06490363972228
2013-07-19,22.49,16.34,0.74,7.8767767942362
2013-07-24,25.13,16.86,0.74,7.87971320716981
2013-07-22,28,19.64,0.74,8.17883886064832
2012-02-07,1.92,-7.99,0.75,13.8827661226387
2013-02-06,2.56,-1.46,0.75,12.2536409541758
2013-03-21,2.57,-1.24,0.75,11.5047561338867
2014-02-12,4.73,-1.2,0.75,11.679099381932
2011-12-13,12.08,0.22,0.75,11.9574464294643
2014-02-04,5.63,1.12,0.75,11.0955844370224
2012-04-03,10.18,1.87,0.75,10.1647025569326
2012-05-05,7.04,3.19,0.75,10.2315460349173
2013-12-27,10.99,3.68,0.75,11.6619784475705
2012-01-21,12.35,4.21,0.75,12.735594320284
